Code,countryName,notes,rwiRegion,ranking,rwiCompositeScore,rwiInstitutionalLegalSetting,rwiReportingPractices,rwiSafeguardsQualityControls,rwiEnablingEnvironment,rwiResource
BOL,Bolivia,,Latin America & Caribbean,25,53,43.8,47.6,67.9,42.6,Minerals
MNG,Mongolia,,East Asia & Pacific,26,51,79,39.2,49.2,48.9,Minerals
TZA,Tanzania,,Sub-Saharan Africa,27,50,59.3,33.9,50.3,41.4,Minerals
AZE,Azerbaijan,,Eurasia & South Asia,28,48,56.7,40.8,28.1,25,Hydrocarbons
IRQ,Iraq,,Middle East & North Africa,29,47,11.1,28.8,15.4,8.7,Hydrocarbons
BWA,Botswana,,Sub-Saharan Africa,30,47,55,28.2,53.3,69.3,Minerals
BHR,Bahrain,,Middle East & North Africa,31,47,87.5,82.6,56.5,55.2,Hydrocarbons
GAB,Gabon,,Sub-Saharan Africa,32,46,52.4,46.6,59.3,27,Hydrocarbons
GIN,Guinea,,Sub-Saharan Africa,33,46,85.7,45,43.1,12.2,Minerals
MYS,Malaysia,,East Asia & Pacific,34,46,39.4,45.4,38.9,57.4,Hydrocarbons
SLE,Sierra Leone,,Sub-Saharan Africa,35,46,56.8,54.1,51.3,22.9,Minerals
CHN,China,,East Asia & Pacific,36,43,77.1,81.9,70.1,33.4,Hydrocarbons
YEM,Yemen,,Middle East & North Africa,37,43,57.8,43.1,51.7,15.2,Hydrocarbons
EGY,Egypt,,Middle East & North Africa,38,43,47.6,60.4,56.2,40.2,Hydrocarbons
PNG,Papua New Guinea,,East Asia & Pacific,39,43,70.8,62.1,72.2,37.7,Minerals
NGA,Nigeria,,Sub-Saharan Africa,40,43,26.1,32.6,25.8,19.4,Hydrocarbons
AGO,Angola,,Sub-Saharan Africa,41,42,57.4,45.5,51.8,15,Hydrocarbons
KWT,Kuwait,,Middle East & North Africa,42,41,64.2,83.1,86.3,55.1,Hydrocarbons
VNM,Vietnam,,East Asia & Pacific,43,41,70.4,63.6,65,30.8,Hydrocarbons
COD,Democratic Republic of the Congo,,Sub-Saharan Africa,44,39,47.9,23.3,55.9,7,Minerals
DZA,Algeria,,Middle East & North Africa,45,38,60.4,51.1,39.2,26.6,Hydrocarbons
MOZ,Mozambique,,Sub-Saharan Africa,46,37,79.6,46.5,62.9,34.6,Hydrocarbons
CMR,Cameroon,,Sub-Saharan Africa,47,34,62.5,33.2,24.8,17.7,Hydrocarbons
SAU,Saudi Arabia,,Middle East & North Africa,48,34,56.7,60.4,61.6,36.9,Hydrocarbons
AFG,Afghanistan,,Eurasia & South Asia,49,33,62.5,28.5,37.8,8.4,Minerals
SDN,Sudan,,Sub-Saharan Africa,50,31,79.6,17.3,35,7.5,Hydrocarbons
ZWE,Zimbabwe,,Sub-Saharan Africa,51,31,55.6,44.8,41.8,6.5,Minerals
KHM,Cambodia,,East Asia & Pacific,52,29,56.7,68.9,67.4,20.4,Hydrocarbons
IRN,Iran,,Middle East & North Africa,53,28,52.4,13.3,45.8,21.9,Hydrocarbons
QAT,Qatar,,Middle East & North Africa,54,26,60.4,71.7,83.3,62.3,Hydrocarbons
LBY,Libya,,Sub-Saharan Africa,55,19,57.1,52.2,63.4,12.1,Hydrocarbons
GNQ,Equatorial Guinea,,Sub-Saharan Africa,56,13,26.7,13.8,4.1,4.3,Hydrocarbons
TKM,Turkmenistan,,Eurasia & South Asia,57,5,12.5,4.2,0,2.7,Hydrocarbons
MMR,Myanmar,,East Asia & Pacific,58,4,8.3,4.6,1.6,2.2,Hydrocarbons
